method,label,probabilistic,sequence_balanced_posterior_nll,sequence_balanced_crps,sequence_balanced_mae_tokens,sequence_balanced_rmse_tokens,sequence_balanced_bias_tokens,raw_r_squared_tokens,interval_90_coverage,interval_95_coverage
prompt_token_ridge_countdown,Prompt-token Ridge,False,,,301.6609297128141,379.3374413373468,27.822807960719786,-0.5257432150642902,,
alps_countdown,ALPS countdown,True,5.826528030916848,70.84238849486339,103.66764874866827,162.18502523017725,19.8835972152156,0.55763515388577,0.8675567424260117,0.9034331314736422
dynamic_signal_mlp_v1,Dynamic-signal MLP,False,,,191.2755131425016,291.0500412353239,5.112539340034293,-0.119991634387552,,
plp_terminal_zero_v3,PLP terminal-zero v3,False,,,92.63502472760932,166.30368191953715,-29.954257287624543,0.5276558938628636,,
alps_plp_concat_v1,ALPS+PLP concat v1,False,,,82.06154117892929,150.3778790515302,-28.901886255423815,0.5761469981829416,,
bayesian_entropy_scalar_v1,Bayesian scalar (primary),True,6.330145618587199,86.68766065429035,111.69309443311316,197.11129926693974,-57.968588766074966,0.25074750313789007,0.7647115287063891,0.8250320148769064
bayesian_entropy_hidden_delta_v1,Bayesian hidden-delta,True,5.862147099258103,73.15873920220636,98.4419983319802,170.5548721500613,-25.21270507096027,0.44410511065603486,0.8356989850139082,0.8910918858490655
